,Scheme_Name,Min_Sip,Min_Lumpsum,Expense_Ratio,Fund_Size_Cr,Fund_Age_Yr,Fund_Manager,Risk_Level,Amc_Name,Rating,Category,Sub_Category,Returns_1Yr,Returns_3Yr,Returns_5Yr
17,Aditya Birla SL Floating Rate Fund,1000,1000,0.23,12364.0,10,Kaustubh Gupta,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8
18,Aditya Birla SL Focused Equity Fund,1000,1000,1.06,5633.0,10,Mahesh Patil,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Focused Funds,-0.7,24.0,10.7
19,Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,159.0,10,Vinod Narayan Bhat,6,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.5,21.7,10.7
20,Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,14.0,10,Vinod Narayan Bhat,4,Aditya Birla Sun Life Mutual Fund,4,Other,FoFs Domestic,4.7,13.3,8.2
21,Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,28.0,10,Vinod Narayan Bhat,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,3.7,17.3,9.4
22,Aditya Birla SL Frontline Equity Fund,100,100,1.03,21131.0,10,Mahesh Patil,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Large Cap Mutual Funds,1.6,26.3,10.6
23,Aditya Birla SL Global Emerging Oppt Fund,100,100,0.7,261.0,10,Vinod Narayan Bhat,6,Aditya Birla Sun Life Mutual Fund,0,Other,FoFs Overseas,-5.7,18.8,8.3
24,Aditya Birla SL Gold Fund,100,100,0.15,278.0,10,Lovelish Solanki,5,Aditya Birla Sun Life Mutual Fund,2,Other,FoFs Domestic,11.8,12.1,13.2
25,Aditya Birla SL Govt Securities Fund,1000,1000,0.29,1351.0,10,Bhupesh Bameta,3,Aditya Birla Sun Life Mutual Fund,3,Debt,Gilt Mutual Funds,3.6,6.0,8.0
26,Aditya Birla SL Income Fund,1000,5000,0.49,1496.0,10,Bhupesh Bameta,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Medium to Long Duration Funds,3.5,7.1,7.7
27,Aditya Birla SL India GenNext Fund,1000,1000,0.82,3217.0,10,Chanchal Khandelwal,6,Aditya Birla Sun Life Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,4.6,25.0,13.3
28,Aditya Birla SL Infrastructure Fund,1000,1000,1.7,562.0,10,Mahesh Patil,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.5,35.6,9.2
29,Aditya Birla SL Inter Equity – Plan A-Direct Growth,1000,1000,1.75,108.0,10,Vinod Narayan Bhat,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,0.9,17.7,10.4
30,Aditya Birla SL Inter Equity – Plan B-Direct Growth,1000,1000,2.15,90.0,10,Vinod Narayan Bhat,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-4.1,22.7,7.6
31,Aditya Birla SL Liquid Fund,500,500,0.21,28071.0,10,Kaustubh Gupta,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.4,5.4
32,Aditya Birla SL Low Duration Fund,100,100,0.39,10035.0,10,Mohit Sharma,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Low Duration Funds,5.7,6.5,7.0
33,Aditya Birla SL Manufacturing Equity Fund,1000,1000,1.56,613.0,8,Anil Shah,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.9,21.7,6.8
34,Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,1652.0,10,Sunaina da Cunha,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6
35,Aditya Birla SL Midcap Fund,1000,1000,1.2,3436.0,10,Anil Shah,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Mid Cap Mutual Funds,-3.6,28.0,8.3
36,Aditya Birla SL Money Manager Fund,1000,1000,0.21,13095.0,10,Mohit Sharma,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Money Market Funds,5.6,5.6,6.4
37,Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,494.0,10,Lovelish Solanki,6,Aditya Birla Sun Life Mutual Fund,3,Other,Index Funds,0.7,25.5,11.6
38,Aditya Birla SL Overnight Fund,0,5000,0.07,13399.0,4,Kaustubh Gupta,1,Aditya Birla Sun Life Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,0.0
39,Aditya Birla SL Pure Value Fund,1000,1000,1.12,3798.0,10,Kunal Sangoi,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Value Funds,3.0,29.8,4.3
40,Aditya Birla SL Regular Savings Fund,500,500,0.92,1585.0,10,Dhaval Shah,4,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,3.6,13.9,7.6
41,Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1000,1.06,258.0,4,Dhaval Shah,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,0.0,17.9,0.0
42,Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1000,1.07,91.0,4,Dhaval Shah,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,-0.1,15.0,0.0
43,Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,1000,0.63,27.0,4,Dhaval Shah,4,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Retirement Funds,3.0,4.6,0.0
44,Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,1000,0.85,26.0,4,Dhaval Shah,3,Aditya Birla Sun Life Mutual Fund,1,Solution Oriented,Retirement Funds,2.9,4.6,0.0
45,Aditya Birla SL Savings Fund,1000,1000,0.34,14457.0,10,Kaustubh Gupta,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.8,6.5
46,Aditya Birla SL Short Term Fund,1000,1000,0.38,5045.0,10,Kaustubh Gupta,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Short Duration Funds,5.5,7.8,7.6
47,Aditya Birla SL Small Cap Fund,1000,1000,1.04,2901.0,10,Vishal Gajwani,6,Aditya Birla Sun Life Mutual Fund,1,Equity,Small Cap Mutual Funds,-2.3,31.6,5.4
48,Aditya Birla SL Tax Relief ’96 – Direct Growth,500,500,0.93,12755.0,10,Atul Penkar,6,Aditya Birla Sun Life Mutual Fund,1,Equity,ELSS Mutual Funds,-3.0,16.1,5.8
49,AXIS All Seasons Debt Fund,1000,5000,0.22,161.0,3,R Sivakumar,4,Axis Mutual Fund,4,Other,FoFs Domestic,4.7,6.2,0.0
50,AXIS Arbitrage Fund,1000,500,0.31,3085.0,9,Ashish Naik,1,Axis Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6
51,AXIS Balanced Advantage Fund,1000,500,0.7,2077.0,6,Anupam Tiwari,6,Axis Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1.2,12.4,8.0
52,AXIS Banking & PSU Debt Fund,1000,5000,0.33,13953.0,10,Aditya Pagaria,3,Axis Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2
53,AXIS Bluechip Fund,500,500,0.63,33049.0,10,Shreyash Devalkar,6,Axis Mutual Fund,4,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1
54,AXIS Children’s Gift Fund,1000,5000,1.06,685.0,7,Ashish Naik,6,Axis Mutual Fund,0,Solution Oriented,Childrens Funds,-6.5,17.8,10.1
55,AXIS Corporate Debt Fund,1000,5000,0.22,3783.0,6,Devang Shah,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3
56,AXIS Credit Risk Fund,1000,5000,0.81,620.0,9,Devang Shah,4,Axis Mutual Fund,4,Debt,Credit Risk Funds,5.4,7.4,6.8
57,AXIS Dynamic Bond Fund,1000,5000,0.26,1733.0,10,R Sivakumar,3,Axis Mutual Fund,2,Debt,Dynamic Bond,3.4,6.5,7.7
58,AXIS Equity Hybrid Fund,1000,500,0.89,1699.0,5,Ashish Naik,6,Axis Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,-4.9,17.4,0.0
59,AXIS Equity Saver Fund,1000,500,0.88,978.0,8,R Sivakumar,4,Axis Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,1.4,12.7,8.8
60,AXIS Flexi Cap Fund,500,500,0.7,10077.0,5,Shreyash Devalkar,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3
61,AXIS Floater Fund,1000,5000,0.16,416.0,2,Aditya Pagaria,2,Axis Mutual Fund,2,Debt,Floater Mutual Funds,5.8,0.0,0.0
62,AXIS Focused 25 Fund,500,500,0.74,15139.0,10,Jinesh Gopani,6,Axis Mutual Fund,2,Equity,Focused Funds,-14.7,14.8,8.9
63,AXIS FTP – Series 104 – 1112Days,0,0,0.13,110.0,4,Devang Shah,2,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0
64,AXIS FTP – Series 109 – 111Days,0,0,0.0,565.0,1,Devang Shah,3,Axis Mutual Fund,0,Debt,Fixed Maturity Plans,11.2,14.5,14.0
65,AXIS Gilt Fund,1000,5000,0.39,133.0,10,Devang Shah,3,Axis Mutual Fund,4,Debt,Gilt Mutual Funds,4.0,5.9,7.9
66,AXIS Gold Fund,1000,5000,0.17,290.0,10,Aditya Pagaria,5,Axis Mutual Fund,4,Other,FoFs Domestic,14.5,12.0,13.7
67,AXIS Growth Opportunities Fund,1000,500,0.59,8053.0,4,Jinesh Gopani,6,Axis Mutual Fund,3,Equity,Large & Mid Cap Funds,-6.4,26.5,0.0
68,AXIS Liquid Fund,0,500,0.15,27226.0,10,Devang Shah,2,Axis Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.4
69,AXIS Long Term Equity Fund,500,500,0.85,28754.0,10,Jinesh Gopani,6,Axis Mutual Fund,2,Equity,ELSS Mutual Funds,-11.1,15.7,9.4
70,AXIS Midcap Fund,500,500,0.57,18920.0,10,Shreyash Devalkar,6,Axis Mutual Fund,5,Equity,Mid Cap Mutual Funds,-2.5,25.2,15.8
71,AXIS Money Market Fund,1000,5000,0.21,4002.0,4,Devang Shah,2,Axis Mutual Fund,4,Debt,Money Market Funds,5.6,5.4,0.0
72,AXIS Nifty 100 Index Fund,1000,500,0.15,953.0,3,Ashish Naik,6,Axis Mutual Fund,3,Other,Index Funds,-1.7,25.1,0.0
73,AXIS Overnight Fund,0,500,0.05,12566.0,4,Aditya Pagaria,1,Axis Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,0.0
74,AXIS Regular Saver Fund,1000,500,0.86,407.0,10,Devang Shah,4,Axis Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,1.8,10.9,7.0
75,AXIS Retirement Savings Fund,1000,5000,0.6,270.0,3,Jinesh Gopani,6,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-1.3,13.6,0.0
76,AXIS Retirement Savings Fund,1000,5000,0.41,81.0,3,Jinesh Gopani,5,Axis Mutual Fund,2,Solution Oriented,Retirement Funds,-2.5,10.3,0.0
77,AXIS Retirement Savings Fund,1000,5000,0.65,633.0,3,Jinesh Gopani,6,Axis Mutual Fund,1,Solution Oriented,Retirement Funds,-4.1,14.0,0.0
78,AXIS Short Term Fund,1000,5000,0.3,7096.0,10,Devang Shah,3,Axis Mutual Fund,4,Debt,Short Duration Funds,4.9,6.9,7.4
79,AXIS Small Cap Fund,500,500,0.54,11462.0,9,Anupam Tiwari,6,Axis Mutual Fund,5,Equity,Small Cap Mutual Funds,3.4,34.5,19.4
80,AXIS Strategic Bond Fund,1000,5000,0.39,1644.0,10,Devang Shah,4,Axis Mutual Fund,4,Debt,Medium Duration Funds,5.2,7.4,7.4
81,AXIS Treasury Advantage Fund,1000,5000,0.29,4614.0,10,Devang Shah,2,Axis Mutual Fund,4,Debt,Low Duration Funds,5.3,5.9,6.6
82,AXIS Triple Advantage Fund,1000,500,0.72,1478.0,10,R Sivakumar,6,Axis Mutual Fund,2,Hybrid,Multi Asset Allocation Mutual Funds,-5.1,18.1,10.4
83,AXIS Ultra Short Term Fund,1000,5000,0.31,4491.0,5,Aditya Pagaria,3,Axis Mutual Fund,4,Debt,Ultra Short Duration Funds,5.7,5.4,0.0
84,Bandhan Asset Allocation FoF – Moderate – Direct Growth,100,1000,0.42,16.0,10,Sachin Relekar,5,Bandhan Mutual Fund,0,Other,FoFs Domestic,1.3,12.7,6.9
85,Bandhan FTP – Sr.179,0,5000,0.05,286.0,4,Harshal Joshi,3,Bandhan Mutual Fund,0,Debt,Fixed Maturity Plans,4.4,6.2,0.0
86,Bank of India Arbitrage Fund,1000,5000,0.98,12.0,5,Alok Singh,1,Bank of India Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,4.2,3.4,0.0
87,Bank of India Balanced Advantage Fund,1000,5000,2.07,90.0,9,Alok Singh,6,Bank of India Mutual Fund,2,Hybrid,Dynamic Asset Allocation or Balanced Advantage,13.6,12.1,5.1
88,Bank of India Conservative Hybrid Fund,1000,10000,2.2,63.0,10,Alok Singh,3,Bank of India Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,22.3,15.5,6.4
89,Bank of India Credit Risk Fund,0,5000,1.54,161.0,8,Alok Singh,4,Bank of India Mutual Fund,5,Debt,Credit Risk Funds,130.8,12.8,-4.1
90,Bank of India Large & Mid Cap Equity Fund,1000,5000,1.89,204.0,10,Nitin Gosar,6,Bank of India Mutual Fund,2,Equity,Large & Mid Cap Funds,2.7,25.6,9.5
91,Bank of India Liquid Fund,0,5000,0.18,403.0,10,Mithraem Bharucha,2,Bank of India Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.3,5.3
92,Bank of India Manufacturing & Infrastr Fund,1000,5000,1.55,87.0,10,Nitin Gosar,6,Bank of India Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.6,35.4,11.5
93,Bank of India Mid & Small Cap Equity & Debt Fund,1000,5000,1.92,380.0,7,Alok Singh,6,Bank of India Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,-0.3,29.3,10.4
94,Bank of India Midcap Tax Fund,0,500,0.95,51.0,5,Dhruv Bhatia,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.1,27.1,10.6
95,Bank of India Midcap Tax Fund,0,500,0.56,26.0,4,Dhruv Bhatia,6,Bank of India Mutual Fund,0,Equity,ELSS Mutual Funds,-4.7,26.0,0.0
96,Bank of India Overnight Fund,0,5000,0.17,82.0,3,Mithraem Bharucha,1,Bank of India Mutual Fund,5,Debt,Overnight Mutual Funds,5.5,4.0,0.0
97,Bank of India Short Term Income – Direct Growth,1000,5000,0.98,72.0,10,Mithraem Bharucha,2,Bank of India Mutual Fund,5,Debt,Short Duration Funds,28.3,8.8,4.0
98,Bank of India Small Cap Fund,1000,5000,1.52,414.0,4,Dhruv Bhatia,6,Bank of India Mutual Fund,4,Equity,Small Cap Mutual Funds,-1.0,47.7,0.0
99,Bank of India Tax Advantage Fund,500,500,1.31,676.0,10,Alok Singh,6,Bank of India Mutual Fund,4,Equity,ELSS Mutual Funds,0.9,29.0,13.2
100,Bank of India Ultra Short Duration Fund,1000,5000,0.36,118.0,10,Mithraem Bharucha,3,Bank of India Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,4.7,5.7
101,Baroda BNP Paribas Aggressive Hybrid Fund,300,5000,0.61,772.0,6,Jitendra Sriram,6,Baroda BNP Paribas Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,3.5,20.6,13.3
102,Baroda BNP Paribas Arbitrage Fund,300,5000,0.49,354.0,6,Neeraj Saxena,1,Baroda BNP Paribas Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.2,4.6,5.6
103,Baroda BNP Paribas Balanced Advantage Fund,500,5000,0.64,3123.0,4,Sanjay Chawla,6,Baroda BNP Paribas Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,0.0
104,Baroda BNP Paribas Banking & PSU Bond Fund,500,5000,0.39,40.0,2,Prashant Pimple,2,Baroda BNP Paribas Mutual Fund,2,Debt,Banking and PSU Mutual Funds,2.5,0.0,0.0
105,Baroda BNP Paribas Banking&Fin Serv Fund,500,5000,1.63,69.0,10,Miten Vora,6,Baroda BNP Paribas Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,6.6,19.2,9.1
106,Baroda BNP Paribas Conservative Hybrid Fund,300,1000,0.78,501.0,10,Pratish Krishnan,4,Baroda BNP Paribas Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,3.7,9.2,7.7
107,Baroda BNP Paribas Corporate Bond Fund,300,5000,0.32,17.0,10,Mayank Prakash,2,Baroda BNP Paribas Mutual Fund,2,Debt,Corporate Bond Mutual Funds,2.8,5.6,4.4
108,Baroda BNP Paribas Credit Risk Fund,500,5000,0.78,179.0,8,Prashant Pimple,4,Baroda BNP Paribas Mutual Fund,5,Debt,Credit Risk Funds,5.7,10.9,7.6
109,Baroda BNP Paribas Dynamic Bond Fund,300,1000,0.71,115.0,10,Mayank Prakash,3,Baroda BNP Paribas Mutual Fund,2,Debt,Dynamic Bond,5.2,5.7,6.6
110,Baroda BNP Paribas ELSS Fund,500,500,1.12,651.0,10,Sanjay Chawla,6,Baroda BNP Paribas Mutual Fund,3,Equity,ELSS Mutual Funds,-2.4,20.4,10.5
111,Baroda BNP Paribas Equity Savings Fund,500,5000,1.45,250.0,4,Pratish Krishnan,4,Baroda BNP Paribas Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,3.7,9.8,0.0
112,Baroda BNP Paribas Focused Fund,300,5000,0.67,299.0,5,Sanjay Chawla,6,Baroda BNP Paribas Mutual Fund,3,Equity,Focused Funds,0.5,23.1,9.9
113,Baroda BNP Paribas Gilt Fund,500,5000,0.14,138.0,10,Mayank Prakash,3,Baroda BNP Paribas Mutual Fund,2,Debt,Gilt Mutual Funds,3.7,4.9,6.8
114,Baroda BNP Paribas India Consumption Fund,300,5000,0.81,880.0,5,Shiv Chanani,6,Baroda BNP Paribas Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.2,23.3,0.0
115,Baroda BNP Paribas Large Cap Fund,300,5000,0.94,1347.0,10,Jitendra Sriram,6,Baroda BNP Paribas Mutual Fund,4,Equity,Large Cap Mutual Funds,3.0,23.5,12.8
116,Baroda BNP Paribas Liquid Fund,500,5000,0.19,6686.0,10,Vikram Pamnani,2,Baroda BNP Paribas Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.4,5.4
117,Baroda BNP Paribas Low Duration Fund,300,5000,0.39,175.0,10,Mayank Prakash,3,Baroda BNP Paribas Mutual Fund,3,Debt,Low Duration Funds,5.0,6.0,6.5
118,Baroda BNP Paribas Medium Duration Fund,300,5000,0.69,37.0,9,Mayank Prakash,3,Baroda BNP Paribas Mutual Fund,2,Debt,Medium Duration Funds,3.9,5.0,3.5
119,Baroda BNP Paribas Mid Cap Fund,300,5000,0.59,1192.0,10,Shiv Chanani,6,Baroda BNP Paribas Mutual Fund,3,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6
120,Baroda BNP Paribas Money Market Fund,500,5000,0.2,111.0,4,Vikram Pamnani,2,Baroda BNP Paribas Mutual Fund,2,Debt,Money Market Funds,5.0,4.1,0.0
121,Baroda BNP Paribas Multi Cap Fund,500,5000,1.1,1628.0,10,Sanjay Chawla,6,Baroda BNP Paribas Mutual Fund,2,Equity,Multi Cap Funds,-1.7,28.8,12.3
122,Baroda BNP Paribas Overnight Fund,500,5000,0.08,423.0,4,Vikram Pamnani,1,Baroda BNP Paribas Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,0.0
123,Baroda BNP Paribas Short Duration Fund,500,5000,0.37,235.0,10,Prashant Pimple,3,Baroda BNP Paribas Mutual Fund,3,Debt,Short Duration Funds,4.2,5.7,6.7
124,Baroda BNP Paribas Ultra Short Duration Fund,500,5000,0.22,560.0,5,Vikram Pamnani,2,Baroda BNP Paribas Mutual Fund,3,Debt,Ultra Short Duration Funds,5.7,5.1,0.0
125,BHARAT Bond FOF – April 2025 – Direct Growth,500,1000,0.06,3912.0,3,Dhawal Dalal,2,Edelweiss Mutual Fund,2,Other,FoFs Domestic,2.6,0.0,0.0
126,Canara Robeco Bluechip Equity Fund,1000,5000,0.48,8672.0,10,Shridatta Bhandwaldar,6,Canara Robeco Mutual Fund,5,Equity,Large Cap Mutual Funds,1.7,24.3,14.4
127,Canara Robeco Conservative Hybrid Fund,1000,5000,0.57,1069.0,10,Avnish Jain,4,Canara Robeco Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4
128,Canara Robeco Consumer Trends Fund,1000,5000,1.0,935.0,10,Shridatta Bhandwaldar,6,Canara Robeco Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.1,26.7,15.1
129,Canara Robeco Corporate Bond Fund,1000,5000,0.39,191.0,9,Avnish Jain,2,Canara Robeco Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.0,6.0,6.7
130,Canara Robeco Dynamic Bond Fund,1000,5000,0.66,116.0,10,Kunal Jain,3,Canara Robeco Mutual Fund,3,Debt,Dynamic Bond,4.7,5.3,6.6
131,Canara Robeco Emerging Equities – Direct Growth,1000,5000,0.6,15261.0,10,Shridatta Bhandwaldar,6,Canara Robeco Mutual Fund,3,Equity,Large & Mid Cap Funds,-0.2,27.0,12.6
132,Canara Robeco Equity Hybrid Fund,1000,5000,0.63,8235.0,10,Shridatta Bhandwaldar,6,Canara Robeco Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.8,20.1,12.2
133,Canara Robeco Equity Tax Saver Fund,500,500,0.64,4685.0,10,Vishal Mishra,6,Canara Robeco Mutual Fund,5,Equity,ELSS Mutual Funds,1.2,27.7,15.5
134,Canara Robeco Flexi Cap Fund,1000,5000,0.55,8630.0,10,Shridatta Bhandwaldar,6,Canara Robeco Mutual Fund,4,Equity,Flexi Cap Funds,-0.9,24.8,13.8
135,Canara Robeco Gilt Fund,1000,5000,0.54,80.0,10,Kunal Jain,3,Canara Robeco Mutual Fund,3,Debt,Gilt Mutual Funds,4.3,5.1,7.0
136,Canara Robeco Income Fund,1000,5000,0.75,125.0,10,Avnish Jain,3,Canara Robeco Mutual Fund,3,Debt,Medium to Long Duration Funds,3.9,5.8,7.0
137,Canara Robeco Infrastructure – Direct Growth,1000,5000,1.32,247.0,10,Shridatta Bhandwaldar,6,Canara Robeco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,13.7,34.9,12.2
138,Canara Robeco Liquid Fund,1000,5000,0.11,2548.0,10,Kunal Jain,2,Canara Robeco Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.1,5.1
139,Canara Robeco Overnight Fund,0,5000,0.1,216.0,4,Suman Prasad,1,Canara Robeco Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,0.0
140,Canara Robeco Savings Fund,1000,5000,0.31,1003.0,10,Kunal Jain,2,Canara Robeco Mutual Fund,2,Debt,Low Duration Funds,5.0,5.2,5.9
141,Canara Robeco Short Duration Fund,1000,5000,0.47,520.0,10,Suman Prasad,2,Canara Robeco Mutual Fund,3,Debt,Short Duration Funds,4.1,5.9,6.5
142,Canara Robeco Small Cap Fund,1000,5000,0.47,4831.0,4,Shridatta Bhandwaldar,6,Canara Robeco Mutual Fund,5,Equity,Small Cap Mutual Funds,-0.6,51.8,0.0
